,0
tile_i,0.08676317672200892
ratio_i,0.07909489753564633
ratio_O_over_N,0.06798349550688507
conv_ratio_K_over_N,0.06732995045320696
logK,0.06605249361671169
ai,0.0659720970020519
K,0.054622183582073866
logM,0.050987252436219814
kernel_conv1d,0.05047451695246686
M,0.03969376132622777
ratio_k,0.03715351338070036
O,0.03697914113019999
logO,0.03532333469998577
ratio_j,0.03509246755860688
N,0.034853631132399567
loop_depth,0.03468494419065112
kernel_matmul,0.03441546428828042
logN,0.03348948504861812
tile_j,0.03195319212349328
tile_k,0.02717835291501057
mis_k,0.016982729894215814
kernel_stencil2d,0.012919918504338976
mis_i,0.0
mis_j,0.0
