group_id,pred_choice,conf,best_time,pred_time,baseline_time,regret_strict,speedup_vs_baseline_strict,regret,speedup_vs_baseline
0,baseline,0.3185228407382965,0.0,1e-06,1e-06,,1.0,1001.0,1.0
1,baseline,0.3186429142951965,0.0,0.0,0.0,,,1.0,1.0
2,baseline,0.3186627030372619,0.0,5e-07,5e-07,,1.0,500.99999999999994,1.0
3,tile,0.3574360013008117,0.0,1e-06,0.0,,0.0,1001.0,0.000999000999000999
4,tile,0.3572235107421875,0.0,5e-07,0.0,,0.0,500.99999999999994,0.0019960079840319364
5,tile,0.3569787740707397,0.0,5e-07,0.0,,0.0,500.99999999999994,0.0019960079840319364
6,tile,0.3715860247611999,0.0,1e-06,0.0,,0.0,1001.0,0.000999000999000999
7,tile,0.3713951408863067,5e-07,1e-06,5e-07,2.0,0.5,1.9980039920159682,0.5004995004995004
8,tile,0.3712097406387329,0.0,1e-06,0.0,,0.0,1001.0,0.000999000999000999
9,tile,0.4779044985771179,0.0,1e-06,0.0,,0.0,1001.0,0.000999000999000999
10,tile,0.4774742722511291,0.0,1e-06,5e-07,,0.5,1001.0,0.5004995004995004
11,tile,0.4771634042263031,0.0,5e-07,0.0,,0.0,500.99999999999994,0.0019960079840319364
12,tile,0.5198365449905396,0.0,5e-07,5e-07,,1.0,500.99999999999994,1.0
13,tile,0.5194860100746155,0.0,0.0,0.0,,,1.0,1.0
14,tile,0.5192124843597412,0.0,5e-07,5e-07,,1.0,500.99999999999994,1.0
15,tile,0.5353132486343384,0.0,1e-06,0.0,,0.0,1001.0,0.000999000999000999
16,tile,0.535002589225769,0.0,1e-06,0.0,,0.0,1001.0,0.000999000999000999
17,tile,0.5347188711166382,0.0,0.0,1e-06,,,1.0,1001.0
18,tile,0.5526736378669739,1e-06,1e-06,1e-06,1.0,1.0,1.0,1.0
19,tile,0.5520583391189575,0.0,0.0,5e-07,,,1.0,500.99999999999994
20,tile,0.5515299439430237,5e-07,5e-07,1e-06,1.0,2.0,1.0,1.9980039920159682
21,tile,0.590532660484314,0.0,0.0,0.0,,,1.0,1.0
22,tile,0.590099036693573,5e-07,1e-06,1e-06,2.0,1.0,1.9980039920159682,1.0
23,tile,0.5897639393806458,0.0,5e-07,0.0,,0.0,500.99999999999994,0.0019960079840319364
24,tile,0.600852370262146,0.0,1e-06,1e-06,,1.0,1001.0,1.0
25,tile,0.6007624864578247,0.0,1e-06,0.0,,0.0,1001.0,0.000999000999000999
26,tile,0.6005899906158447,0.0,1e-06,5e-07,,0.5,1001.0,0.5004995004995004
27,baseline,0.3065566420555115,5e-07,1e-06,1e-06,2.0,1.0,1.9980039920159682,1.0
28,baseline,0.3065360784530639,1e-06,1e-06,1e-06,1.0,1.0,1.0,1.0
29,baseline,0.3064684271812439,1e-06,1e-06,1e-06,1.0,1.0,1.0,1.0
30,tile,0.3322664499282837,5e-07,1e-06,1e-06,2.0,1.0,1.9980039920159682,1.0
31,tile,0.3317483365535736,5e-07,5e-07,1e-06,1.0,2.0,1.0,1.9980039920159682
32,tile,0.3314001560211181,0.0,1e-06,1e-06,,1.0,1001.0,1.0
33,tile,0.3478789329528808,0.0,1e-06,5e-07,,0.5,1001.0,0.5004995004995004
34,tile,0.3473565876483917,1e-06,1e-06,1e-06,1.0,1.0,1.0,1.0
